runID/I:time/D:timeErr/D:A/D:AErr/D:N/D:NErr/D:frac/D
2012	1966.9793	8.4996	0.73520	0.21033	350.395	100.240	0.8824	0.3151
2016	1985.9926	6.8621	0.38897	0.15387	185.381	73.333	0.6250	0.3585
2017	2014.7156	8.7208	0.53468	0.16068	254.826	76.579	0.6667	0.2751
2021	2036.7036	10.0958	0.19194	0.07857	91.478	37.446	0.3750	0.2570
2025	2063.3085	14.0813	0.35962	0.10982	171.393	52.340	0.8000	0.3124
2029	2091.4753	11.0958	0.66460	0.16814	316.746	80.137	0.7727	0.2527
2033	2111.7439	6.4872	0.52374	0.18418	249.614	87.781	0.6364	0.3103
2039	2136.7317	6.4331	0.20402	0.10948	97.234	52.177	0.6000	0.4400
2045	2158.4715	7.9760	0.35387	0.14633	168.651	69.741	0.8889	0.4338
2052	2185.6943	6.5563	0.33469	0.15069	159.510	71.818	0.6667	0.4322
2057	2207.2353	9.7150	0.19763	0.09282	94.191	44.237	0.6667	0.4322
2062	2230.3285	8.3362	0.20556	0.09397	97.968	44.786	0.5000	0.3558
2067	2252.8289	9.7347	0.33811	0.12440	161.143	59.288	0.6667	0.3536
2071	2276.1692	11.1244	0.46992	0.13579	223.960	64.716	0.7059	0.2691
2075	2300.4062	10.2357	0.32156	0.11256	153.256	53.645	0.6667	0.3069
2094	2327.1151	7.2121	0.52712	0.17940	251.222	85.500	0.7692	0.3260
2099	2348.3844	10.1722	0.36984	0.13459	176.265	64.147	0.8000	0.3816
2103	2371.5404	11.0126	0.45142	0.14112	215.146	67.258	0.7692	0.3260
2104	2394.5600	12.0011	0.52359	0.13874	249.538	66.123	0.6842	0.2495
2121	2470.0906	8.0947	0.44336	0.15106	211.302	71.992	0.5000	0.2768
2129	2494.8263	7.4313	0.32665	0.12009	155.678	57.234	0.4000	0.2400
2133	2518.5268	7.6421	0.46367	0.15552	220.983	74.120	0.5833	0.2803
2138	2545.8729	11.6993	0.44099	0.12457	210.174	59.370	0.5333	0.2369
2139	2566.4392	8.8600	0.37669	0.13387	179.530	63.804	0.6000	0.3124
2143	2588.9212	9.8229	0.51533	0.14956	245.604	71.278	0.7059	0.2691
2149	2616.0394	6.9678	0.38351	0.16117	182.778	76.810	0.5000	0.3558
2156	2638.8035	7.6949	0.36091	0.14884	172.008	70.938	0.7500	0.4070
2161	2662.1385	10.6954	0.30774	0.11323	146.669	53.963	0.6667	0.3536
2166	2686.2719	8.1864	0.35907	0.14193	171.129	67.642	0.7778	0.3940
2170	2707.5954	10.4571	0.47776	0.14542	227.696	69.308	0.7143	0.2984
2171	2730.2165	12.1449	0.60138	0.13745	286.613	65.507	0.5200	0.1823
2174	2755.7761	10.3375	0.62025	0.17051	295.608	81.263	0.8421	0.2885
2177	2779.4483	10.9308	0.43401	0.13346	206.846	63.606	0.7333	0.2938
2181	2803.6072	10.6331	0.34845	0.12148	166.071	57.898	0.7273	0.3403
2188	2829.9229	8.3343	0.38796	0.14882	184.901	70.928	0.7778	0.3940
2194	2848.8797	6.4819	0.41543	0.15031	197.991	71.639	0.5000	0.2768
2195	2858.7771	3.4004	0.38597	0.20712	183.951	98.711	0.6000	0.4400
2204	2923.9651	10.1224	0.48375	0.15540	230.552	74.062	0.8462	0.3489
2213	2963.6461	2.0906	0.55302	0.33800	263.567	161.089	0.7500	0.5742
2216	2974.4696	7.5871	0.28415	0.13280	135.427	63.294	0.8571	0.4785
2221	2997.1150	8.9303	0.62456	0.18437	297.660	87.869	0.8125	0.3060
2231	3024.5442	5.8681	0.53076	0.19228	252.956	91.641	0.6364	0.3103
2238	3047.1818	7.4010	0.28732	0.13772	136.933	65.639	0.8333	0.5062
2243	3120.7433	5.6958	2.80801	0.47551	1338.284	226.628	0.7600	0.1684
2247	3130.3485	1.7493	2.55424	0.81215	1217.337	387.064	0.8000	0.3124
2249	3142.3786	8.3975	1.69096	0.28180	805.902	134.306	0.5600	0.1381
2251	3154.3465	1.6560	1.69196	0.65110	806.379	310.313	0.7000	0.3473
2273	3189.6008	8.5067	1.61154	0.28857	768.052	137.530	0.6977	0.1707
2279	3213.7144	12.5764	1.40616	0.22616	670.167	107.788	0.7115	0.1582
2280	3236.3676	10.0571	1.05922	0.20575	504.819	98.058	0.6216	0.1698
2284	3250.5517	1.8164	0.91737	0.51339	437.216	244.680	1.0000	0.6337
2285	3261.8457	8.2640	1.11592	0.23565	531.843	112.310	0.5185	0.1754
2289	3283.3240	10.9038	0.66413	0.16081	316.521	76.643	0.6522	0.2201
2297	3313.8676	4.2663	0.57863	0.24819	275.772	118.284	0.7500	0.4070
2303	3326.1038	5.2490	0.79175	0.23496	377.346	111.978	0.4667	0.2173
2304	3336.9628	5.5875	0.94793	0.25163	451.778	119.926	0.4737	0.1958
2309	3358.9719	7.0725	0.99715	0.25611	475.235	122.060	0.6842	0.2495
2317	3404.3528	9.3292	0.59235	0.16095	282.311	76.707	0.6316	0.2363
2379	3526.5006	7.7417	0.46936	0.15420	223.692	73.492	0.5833	0.2803
2385	3562.9028	19.8772	0.62512	0.11785	297.927	56.166	0.6389	0.1752
2396	3621.7969	8.4092	0.73406	0.20240	349.850	96.465	0.7778	0.2800
2464	3815.5990	6.5446	0.27582	0.10421	131.453	49.666	0.2500	0.2016
2468	3840.1569	6.5256	0.52067	0.18310	248.148	87.266	0.6364	0.3103
2471	3862.1919	8.1681	0.32136	0.12209	153.160	58.189	0.6000	0.3124
2472	3885.9307	8.4232	0.46748	0.15393	222.801	73.362	0.5455	0.2797
2475	3911.3853	6.6889	0.38067	0.14602	181.427	69.591	0.5556	0.3124
2523	4006.5300	7.7333	0.17238	0.12576	82.154	59.938	1.0000	1.0008
2535	4030.2579	8.2215	0.37712	0.13016	179.732	62.035	0.4000	0.2400
2539	4052.4240	11.3285	0.38632	0.11581	184.118	55.197	0.5714	0.2564
2540	4075.0683	11.3058	0.53766	0.14152	256.248	67.448	0.6316	0.2363
2552	4102.3761	8.0347	0.30211	0.10505	143.986	50.068	0.3636	0.2161
2563	4126.2624	7.9474	0.36963	0.13487	176.164	64.279	0.5000	0.3088
2575	4150.2572	8.0497	0.30091	0.11362	143.413	54.149	0.3750	0.2570
