runID/I:time/D:timeErr/D:A/D:AErr/D:N/D:NErr/D:frac/D
//1363	101.2440	5.7746	1.25110	0.40696	596.268	193.954	0.0000	0.0400
2029	2091.4753	11.0958	0.71400	0.20491	340.288	97.660	0.6471	0.2536
2025	2063.3085	14.0813	0.41942	0.14439	199.895	68.813	0.7500	0.3331
1340	41.5456	3.4697	12.86708	1.46422	6132.384	697.839	0.4673	0.0895
1356	73.9696	4.7410	11.76003	1.25868	5604.771	599.883	0.5484	0.0919
2052	2185.6943	6.5563	0.23476	0.13864	111.884	66.076	0.5000	0.4349
1769	1296.4179	5.6251	0.41618	0.22877	198.348	109.031	0.8000	0.5381
2094	2327.1151	7.2121	0.34325	0.17320	163.592	82.548	0.6000	0.4400
2133	2518.5268	7.6421	0.46711	0.18225	222.624	86.860	0.4444	0.2701
2149	2616.0394	6.9678	0.25616	0.15093	122.084	71.931	0.5000	0.4349
2129	2494.8263	7.4313	0.54650	0.20139	260.460	95.981	0.4000	0.2400
2121	2470.0906	8.0947	0.41064	0.17122	195.708	81.604	0.5000	0.3088
2156	2638.8035	7.6949	0.29520	0.16792	140.692	80.028	0.7500	0.5742
2075	2300.4062	10.2357	0.25272	0.12493	120.446	59.543	0.6667	0.4322
2071	2276.1692	11.1244	0.49006	0.17321	233.562	82.549	0.7500	0.3331
2099	2348.3844	10.1722	0.35729	0.15454	170.284	73.651	0.7500	0.4070
2139	2566.4392	8.8600	0.47353	0.18732	225.680	89.275	0.6250	0.3585
2161	2662.1385	10.6954	0.38848	0.14989	185.149	71.436	0.5000	0.3088
2143	2588.9212	9.8229	0.54728	0.19577	260.829	93.301	0.7273	0.3403
2103	2371.5404	11.0126	0.50257	0.16643	239.521	79.322	0.5000	0.2532
2104	2394.5600	12.0011	0.66172	0.18554	315.373	88.427	0.5556	0.2227
1710	1124.4437	9.6974	0.32077	0.14769	152.877	70.389	0.7143	0.4202
1679	982.3824	7.9813	0.48524	0.21732	231.263	103.572	0.8571	0.4785
2138	2545.8729	11.6993	0.45400	0.14284	216.372	68.075	0.3333	0.1966
1670	955.1297	10.8847	0.52971	0.17429	252.457	83.066	0.4167	0.2254
1655	885.9117	8.2067	0.28526	0.15681	135.955	74.734	0.8000	0.5381
//1382	122.6887	5.2296	1.35094	0.35689	643.851	170.091	0.0000	0.0400
2238	3047.1818	7.4010	0.59506	0.24150	283.602	115.098	0.7778	0.3940
